item,frequency,V1,stress,V2
mimoza,195,i,unstressed,o
zimami,124,i,unstressed,a
rzepaku,"7,229",e,unstressed,a
nieborak,199,e,unstressed,o
papaja,105,a,unstressed,a
babochlop,56,a,unstressed,o
popada,"3,265",o,unstressed,a
nowotwor,"3,808",o,unstressed,o
cumowac,163,u,unstressed,o
kumaty,266,u,unstressed,a
bywalec,"1,224",y,unstressed,a
zywotnie,594,y,unstressed,o
mimo,"377,811",i,stressed,o
zima,"24,761",i,stressed,a
rzepa,"2,471",e,stressed,a
niebo,"34,100",e,stressed,o
papa,"5,764",a,stressed,a
babo,"1,003",a,stressed,o
popa,685,o,stressed,a
nowo,"64,753",o,stressed,o
sumo,"1,010",u,stressed,o
kuma,783,u,stressed,a
bywa,"71,037",y,stressed,a
zywo,"26,515",y,stressed,o
drzewo,NA,e,stressed,e
drzeworyt,NA,e,unstressed,e
