speaker,item,start,label,duration,tp,f1,f2,f3
PL01,cumowac,428.1884,V1,0.0316,5,619.39,1129.21,2456.27
PL01,cumowac,472.8781,V1,0.04,5,739,1125,2422.44
PL01,kuma,105.13,V1,0.07,5,197.33,1034,3277.76
PL01,kumaty,432.3104,V1,0.0291,5,201.79,996,2885.41
PL01,nowo,119.7525,V1,0.1128,5,737.39,1039.33,2423.63
PL01,nowotwor,483.1685,V1,0.0218,5,350,1407,2422.66
PL01,sumo,123.1987,V1,0.1086,5,420.76,697.44,2502.76
PL01,sumo,292.4162,V1,0.0873,5,332.36,812.21,3597.49
PL02,kumaty,118.6666,V1,0.0485,5,343,428,3327.5
PL02,sumo,30.3183,V1,0.1116,5,448,832,3797.81
PL02,zimami,124.7741,V1,0.0534,5,313,1738,4851.65
PL02,zimami,244.7296,V1,0.0315,5,292,2176,4631.68
PL03,kumaty,434.0101,V1,0.0425,5,926,1079,3208.18
PL03,mimoza,439.1706,V1,0.0861,5,697,1098,2803.84
PL03,zima,311.69,V1,0.12,5,247,2304,4803.84
PL06,zimami,406.4575,V1,0.03,5,355,2084,4224.94
PL08,kuma,452.32,V1,0.05,5,486.67,840,2365.27
PL08,mimoza,295.57,V1,0.07,5,428.99,1250,2827.45
PL08,rzepa,330.0452,V1,0.1049,5,636.23,1697,1787.91
PL09,kuma,326.54,V1,0.05,5,496,702,4334.06
PL10,mimoza,40.43,V1,0.08,5,418,1691,4338.57
PL10,papaja,331.94,V1,0.03,5,634,1587,3519.04
PL10,zimami,362.9,V1,0.03,5,401,2117,3976.71
